group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.04305674,0.009401396,0.0,1.0,0.0,0.0,True,Gng11,21
Myocytes,-0.032248694,0.024823574,0.095,0.905,0.095,0.0475,True,Gng11,21
Medium Spiny Neurons,-0.010963837,0.012328139,0.192,0.808,0.192,0.09566666666666668,False,Gng11,21
Oligodendrocyte Precursor Cells,0.008945393,0.011787486,0.769,0.231,0.231,0.1295,False,Gng11,21
Endothelial Cells,-0.020169672,0.030430913,0.255,0.745,0.255,0.15460000000000002,False,Gng11,21
Neurons,0.007564243,0.014171663,0.702,0.298,0.298,0.1785,False,Gng11,21
Neural Stem Cells,0.008670347,0.018073173,0.682,0.318,0.318,0.19842857142857143,False,Gng11,21
Excitatory Neurons,0.004431721,0.012295747,0.639,0.361,0.361,0.21875,False,Gng11,21
Microglia,-0.0044842144,0.017970964,0.395,0.605,0.395,0.23833333333333334,False,Gng11,21
Endocrine Cells,-0.005333508,0.031219523,0.435,0.565,0.435,0.258,False,Gng11,21
GABAergic Neurons,-0.0022894857,0.01893103,0.473,0.527,0.473,0.27754545454545454,False,Gng11,21
Astrocytes,-0.0009223723,0.016161583,0.492,0.508,0.492,0.29541666666666666,False,Gng11,21
Endocrine Cells,-0.2303911,0.032258,0.0,1.0,0.0,0.0,True,Gpc4,21
Neural Stem Cells,0.04996249,0.017623838,1.0,0.0,0.0,0.0,True,Gpc4,21
Myocytes,-0.05618631,0.024878193,0.009,0.991,0.009,0.0029999999999999996,True,Gpc4,21
Medium Spiny Neurons,-0.013663845,0.012354344,0.128,0.872,0.128,0.03425,True,Gpc4,21
Oligodendrocyte Precursor Cells,0.010988485,0.011645949,0.827,0.173,0.173,0.062,False,Gpc4,21
Neurons,0.010452949,0.014127886,0.77,0.23,0.23,0.09000000000000001,False,Gpc4,21
Endothelial Cells,-0.011514768,0.031005764,0.357,0.643,0.357,0.12814285714285714,False,Gpc4,21
Astrocytes,0.003210842,0.016262656,0.6,0.4,0.4,0.16212500000000002,False,Gpc4,21
Microglia,-0.0036807866,0.01795612,0.411,0.589,0.411,0.1897777777777778,False,Gpc4,21
Excitatory Neurons,0.0018467443,0.012445718,0.564,0.436,0.436,0.2144,False,Gpc4,21
Oligodendrocytes,-0.0017176181,0.010698623,0.452,0.548,0.452,0.23600000000000002,False,Gpc4,21
GABAergic Neurons,-0.00023558876,0.01902789,0.511,0.489,0.489,0.25708333333333333,False,Gpc4,21
Oligodendrocyte Precursor Cells,0.02424253,0.012430868,0.983,0.017,0.017,0.017,True,Gpr17,21
Medium Spiny Neurons,-0.013036674,0.012350797,0.142,0.858,0.142,0.07949999999999999,False,Gpr17,21
Neural Stem Cells,0.013580284,0.01824519,0.764,0.236,0.236,0.13166666666666665,False,Gpr17,21
Neurons,0.008935003,0.014182457,0.733,0.267,0.267,0.16549999999999998,False,Gpr17,21
Excitatory Neurons,0.004418129,0.012297028,0.639,0.361,0.361,0.20459999999999998,False,Gpr17,21
Myocytes,0.00807328,0.024662545,0.628,0.372,0.372,0.2325,False,Gpr17,21
Endothelial Cells,-0.008676156,0.03126385,0.395,0.605,0.395,0.2557142857142857,False,Gpr17,21
Microglia,-0.0032920782,0.017953083,0.422,0.578,0.422,0.2765,False,Gpr17,21
